Фамилия,Имя,Отчество,Прежние ФИО,Дата рождения,Место рождения,СНИЛС,ИНН,Вид документа,Серия и номер,Субъект Российской Федерации,Район,Город,Населенный пункт,Улица,Номер дома,Номер корпуса,Номер квартиры,Тип недвижимости,Вид собственности (недвижимость),Адрес недвижимости,Площадь (кв.м),Основание приобретения (недвижимость),Стоимость (недвижимость),Залог (недвижимость),Тип транспортного средства,Марка (транспорт),Год изготовления (транспорт),Идентификационный номер (VIN),Вид собственности (транспорт),Место нахождения/хранения (транспорт),Стоимость (транспорт),Залог (транспорт),Наименование банка/кредитной организации,Адрес банка/кредитной организации,Вид счета,Валюта счета,Дата открытия счета,Остаток на счете (руб.),Наименование организации,Организационно-правовая форма,Адрес организации,Уставный капитал (руб.),Паевой фонд (руб.),Доля участия (%),Основание участия,Вид ценной бумаги,Лицо выпустившее ценную бумагу,Номинальная величина обязательства (руб),Общее количество,Общая стоимость (руб),Наличные денежные средства,Адрес хранения наличных,Драгоценности,Адрес хранения драгоценностей,Предметы искусства,Адрес хранения предметов искусства,Имущество для профессиональных занятий,Адрес хранения имущества,Иное ценное имущество,Адрес хранения иного имущества,Ссылка на документ,ID
Павлова,Евлампий,Изотович,Гурьев Мартьян Аркадьевна,12/27/1957,с. Карабудахкент,227637289063,8958189243,Свидетельство о рождении,"2,764,958,204",Еврейская АО,Западный,к. Кингисепп,Деревня,ш. Деповское,6,8,22,Земельный участок,Частная,"алл. Пригородная, д.163, кв.79",363,Дарение,2936055,Нет,Водный транспорт,ЗАО «Шарапова»,1980,Sul-074515,Частная,"д. Киржач, ш. Тополиное, д. 9 к. 4/8, 213482",4854718,Да,ЗАО «Красильникова Блохина» Банк,"с. Урюпинск, ул. Красина, д. 72, 848661",Депозитный счет,RUB,6/2/2015,3375065,"Аптечная сеть 36,6",ПАО,"п. Назрань, ул. Красногвардейская, д. 9/4, 948413",44628145,27300680,76.12,Покупка акций,Облигация,Юнилевер Русь (Unilever),15980,2534,411710,203244,"наб. Харьковская, д.199",177813,"наб. Л.Толстого, д.70",465979,"ш. Радужное, д.151",291488,"пер. Выгонный, д.31",96435,"пр. Громова, д.176",,a32bbd94-e3cd-46d9-bb43-4377e1a6fc5f
Киселева,Вацлав,Борисовна,Крюков Матвей Петровна,9/27/1934,г. Меренга,32590767100,1000024721,Паспорт,"5,157,862,281",Алтайский край,Западный,п. Елатьма,Село,ул. Щербакова,12,4,77,Иное недвижимое имущество,Государственная,"пр. Щорса, д.182, кв.97",475,Купля-продажа,2316587,Да,Грузовой автомобиль,"ОАО «Карпова, Филатов и Одинцова»",1979,oSg-595947,Государственная,"к. Майкоп, наб. Полевая, д. 913, 017962",4530488,Нет,ИП «Евдокимова Карпов» Банк,"с. Терней, наб. Ватутина, д. 3, 193972",Сберегательный счет,RUB,5/13/2022,4455250,АО «Симонова»,ПАО,"клх Мытищи, ул. Горная, д. 485 стр. 2, 512916",4914444,21874741,38.33,Вклад в уставный капитал,Опцион,АО «Николаев-Федотова»,28880,39,484114,323706,"пер. Ангарский, д.160",243064,"пр. Виноградный, д.78",145737,"ул. Ленинградская, д.24",49892,"ш. Розы Люксембург, д.112",33954,"алл. Мельничная, д.58",,ba1218e2-cc43-4269-908d-b7b22c780485
Богданова,Милан,Филиппович,Романов Олимпиада Ермолаевич,2/27/1938,с. Псков,538929470958,7445314728,Водительское удостоверение,"5,980,547,601",Краснодарский край,Восточный,ст. Карпинск,Село,пер. Крымский,92,4,69,Иное недвижимое имущество,Государственная,"наб. Цветочная, д.98, кв.5",283,Дарение,1876763,Да,Сельскохозяйственная техника,ООО «Кулаков-Устинов»,1999,GcX-110537,Государственная,"к. Зеленоград, бул. Чапаева, д. 697, 466351",3388303,Да,ОАО «Горбачева Пахомов» Банк,"к. Пятигорск, алл. Республиканская, д. 8/1 стр. 1/3, 222573",Текущий счет,EUR,1/27/2020,2130811,Молчанов Групп,ПАО,"п. Шелехов, алл. Щербакова, д. 3 стр. 654, 099609",42953674,24111965,Oct-71,Покупка акций,Акция,ИП «Меркушев Зайцева»,20399,1268,322081,242637,"пер. Спартака, д.171",75877,"алл. Краснознаменная, д.116",400050,"пер. Шишкина, д.115",161118,"наб. Журавлева, д.139",111826,"пр. Бульварный, д.82",,3bc71d7c-1818-41b4-8a81-dfceb3aeb827
Шестаков,Галина,Петровна,Крылов Елизар Трофимович,5/31/2005,г. Дивногорск,189332782927,9631001053,Водительское удостоверение,"6,324,756,783",респ. Дагестан,Южный,с. Сковородино,Поселок,бул. Подстанция,149,3,25,Гараж,Частная,"бул. Прохладный, д.172, кв.27",60,Купля-продажа,4493502,Нет,Легковой автомобиль,Дочки-Сыночки,2021,FCu-380333,Частная,"клх Нягань, пр. Лазурный, д. 396 к. 3/6, 634012",2464004,Да,"АО «Дроздов, Исакова и Кулагин» Банк","д. Троицк (Моск.), пр. Подлесный, д. 244 стр. 441, 975155",Сберегательный счет,RUB,9/16/2021,1553660,СК Согласие,ООО,"п. Октябрьский (Башк.), ш. Кузнечное, д. 62, 211441",48374555,12514318,60.83,Покупка акций,Облигация,ООО «Гаврилов Филиппова»,46496,7540,433167,158896,"алл. Герцена, д.26",265722,"алл. Пролетарская, д.158",494419,"бул. Бригадный, д.72",250202,"наб. Глинки, д.22",105975,"наб. Высотная, д.66",,2505279d-f2ef-4887-be11-ef679ac47d96
Котов,Любосмысл,Германович,Красильникова Мокей Яковлевна,6/5/1954,г. Новомичуринск,251835556440,5102766308,Паспорт,"8,143,462,103",Сахалинская обл.,Южный,к. Беслан,Поселок,пр. Заливный,56,6,94,Жилой дом,Муниципальная,"ш. Портовое, д.74, кв.24",310,Дарение,1303255,Да,Легковой автомобиль,ОАО «Дмитриев-Корнилов»,2009,wva-359889,Муниципальная,"г. Воркута, пер. Кузнечный, д. 8/1 стр. 7/7, 578785",1229489,Нет,"ОАО «Третьякова, Галкин и Лобанова» Банк","с. Павловская, наб. Привокзальная, д. 5/6, 033122",Депозитный счет,EUR,11/8/2022,2851074,ИП «Лихачев»,ОАО,"д. Верхний Баскунчак, пер. Орловский, д. 8/1 к. 92, 587210",4847230,1669610,Nov-21,Приватизация,Опцион,АО «Стрелков»,26790,7253,221625,256812,"ул. Болотная, д.110",136011,"пер. Пожарского, д.18",136748,"алл. Нахимова, д.83",187741,"алл. Прибрежная, д.158",186637,"пер. Шахтерский, д.73",,3952f75a-2bbf-4dea-8cf4-a38ab044187e
Сафонов,Прохор,Геннадиевич,Бурова Светлана Игоревич,3/8/1947,к. Кириши,679176920327,2985560465,Водительское удостоверение,"8,818,614,851",Ямало-Ненецкий АО,Южный,с. Мостовской,Поселок,наб. Плеханова,3,7,54,Квартира,Государственная,"наб. Огородная, д.12, кв.10",282,Наследство,4653636,Да,Воздушный транспорт,"ООО «Сафонова, Котов и Максимов»",1994,tRf-043869,Государственная,"клх Колпашево, наб. Покровская, д. 7/2 к. 7, 987138",687732,Нет,РАО «Исаева» Банк,"ст. Оленегорск (Якут.), пер. Нагорный, д. 194 к. 36, 456258",Депозитный счет,RUB,8/25/2018,467505,Моисеев Групп,ОАО,"с. Белый Яр (Томск.), ул. Больничная, д. 143, 235243",48634624,6539708,35.43,Вклад в уставный капитал,Вексель,ЗАО «Чернов-Борисов»,49989,2794,308936,65206,"ш. Малое, д.34",65380,"пер. Мирный, д.52",137374,"пр. Дачный, д.82",105466,"бул. Кирова, д.128",212441,"алл. Дорожная, д.63",,f5c74486-5f22-4b72-8899-7cd20b402057
Белоусов,Тимофей,Федотович,Козлова Аверкий Владиславович,5/2/1951,г. Лодейное Поле,219800529726,7871674309,Водительское удостоверение,"1,070,326,175",Ямало-Ненецкий АО,Центральный,к. Сосновый Бор,Деревня,алл. Тракторная,55,1,21,Земельный участок,Государственная,"наб. Мая 1, д.70, кв.20",335,Наследство,3602558,Да,Воздушный транспорт,ООО «Комиссаров Горбачева»,2002,PJB-453211,Государственная,"д. Карабудахкент, пр. Толстого, д. 6/7 к. 1, 188402",4098937,Нет,"ООО «Максимов, Капустин и Меркушева» Банк","п. Юрьевец (Иван.), наб. Гоголя, д. 784 стр. 1, 206414",Сберегательный счет,USD,6/1/2022,4652664,РАО «Молчанова»,ЗАО,"клх Серафимович, бул. Химиков, д. 924, 500721",31299735,14442560,96.93,Вклад в уставный капитал,Вексель,Такеда Фармасьютикалс (Takeda Pharmaceutical),28937,7019,145911,385412,"ш. Мостовое, д.43",38014,"наб. Фабричная, д.57",150212,"алл. Союзная, д.70",212819,"пер. Володарского, д.114",105684,"алл. Энгельса, д.160",,337276d4-9dce-4ace-85c0-58bc1446cc83
Гурьева,Якуб,Анатольевна,Кондратьева Станимир Ермолаевич,4/4/1938,д. Тамбов,58620024424,1457641989,Водительское удостоверение,"2,895,129,216",Хабаровский край,Западный,к. Оренбург,Поселок,алл. Флотская,23,2,51,Жилой дом,Муниципальная,"пер. Ростовский, д.72, кв.80",167,Дарение,3918282,Нет,Мототранспортное средство,ИП «Князев-Крылов»,2023,mIK-145619,Государственная,"п. Новый Оскол, пр. Рабочий, д. 7 стр. 556, 472739",2965774,Нет,Наумова Инк Банк,"клх Тутончаны, ш. Белинского, д. 49, 934403",Депозитный счет,EUR,10/7/2023,153846,"НПО «Дьячкова, Вишнякова и Некрасов»",ОАО,"ст. Елабуга, бул. Льва Толстого, д. 176 стр. 279, 523089",34193010,31308463,16.86,Покупка акций,Вексель,Эйвон Бьюти Продактс Компани (Avon),17062,5187,104878,7712,"наб. Буденного, д.89",42148,"ул. Красноярская, д.101",283744,"ул. Гастелло, д.14",293321,"наб. Ключевая, д.49",39967,"алл. 9 Января, д.168",,580c6ad4-3e21-4055-ae5a-561b2d5ddc2f
Рогова,Макар,Адамович,Нестеров Фадей Леонидовна,2/13/1972,ст. Кырен,768298124746,1897387906,Свидетельство о рождении,"3,105,738,756",Ростовская обл.,Западный,г. Шамары,Село,ш. Декабристов,58,9,71,Жилой дом,Частная,"пер. Ручейный, д.110, кв.89",186,Наследство,336325,Да,Воздушный транспорт,ОАО «Соловьева Волкова»,2003,NPi-017744,Частная,"п. Алапаевск, бул. Ушакова, д. 2, 280243",2088745,Да,РАО «Буров-Макаров» Банк,"с. Стрежевой, бул. Металлургов, д. 2/6 к. 6/4, 217945",Сберегательный счет,RUB,11/16/2019,2345787,ООО «Евсеев-Блинова»,ООО,"с. Великие Луки, наб. Автомобилистов, д. 7/2 стр. 1/3, 728348",47397640,33363034,Mar-42,Вклад в уставный капитал,Акция,ИП «Овчинников-Гуляева»,32822,4126,208439,48506,"ш. Терешковой, д.50",103897,"ул. Таманская, д.56",475439,"ш. Широкое, д.95",274722,"ул. Родниковая, д.14",142190,"бул. Димитрова, д.54",,e7703d9e-c358-4a28-90ec-141b46223d2b
Степанова,Терентий,Васильевна,Симонова Родион Якубович,6/1/1984,с. Апшеронск,234417976617,8596180749,Свидетельство о рождении,"4,682,193,454",респ. Алтай,Западный,ст. Одинцово,Поселок,алл. Достоевского,16,3,2,Гараж,Государственная,"наб. Астраханская, д.83, кв.33",360,Дарение,3410385,Да,Иное транспортное средство,ИП «Селиверстова Ильина»,1987,Rua-385570,Муниципальная,"к. Верхнее Пенжино, наб. Крайняя, д. 96 стр. 289, 300770",1348425,Да,"АО «Жукова, Филиппова и Носкова» Банк","ст. Томари, наб. Октября, д. 12 стр. 59, 476564",Текущий счет,RUB,6/23/2016,1195991,Цветкова Лимитед,ПАО,"ст. Гаврилов-Ям, ул. Горького, д. 666, 316437",44680783,18200898,40.4,Приватизация,Опцион,Главное управление обустройства войск (ГУОВ),41247,2471,358392,377038,"пер. Коммунаров, д.103",146201,"наб. Розы Люксембург, д.44",187023,"пр. Петровский, д.116",88838,"ш. Тупиковое, д.37",160824,"наб. Космическая, д.98",,bbc3a328-4789-482c-8460-73f620343b32
Фокин,Андрон,Тимуровна,Архипов Мокей Леоновна,6/15/1934,к. Мураши,672007768979,7656441781,Свидетельство о рождении,"6,398,870,468",Кировская обл.,Западный,к. Карачаевск,Деревня,пр. Ставропольский,25,10,96,Квартира,Государственная,"пр. Шмидта, д.129, кв.71",154,Купля-продажа,3089799,Нет,Воздушный транспорт,"АО «Лобанов, Петров и Филатов»",2021,EGx-567989,Частная,"ст. Лабытнанги, ш. Полевое, д. 114 к. 2, 602508",4471318,Нет,ИП «Мухин» Банк,"клх Люберцы, наб. Гончарова, д. 6/5 к. 4, 114258",Депозитный счет,EUR,3/28/2017,4953189,Куликов Инк,ЗАО,"п. Торжок, алл. Поселковая, д. 578, 683317",27387960,18449960,91.97,Вклад в уставный капитал,Вексель,ГК Мегаполис,41289,5418,245784,477621,"пр. Жданова, д.122",167286,"пер. Крестьянский, д.152",36389,"наб. Почтовая, д.35",132406,"ул. Короткая, д.24",163258,"бул. Братский, д.127",,9948f8c9-a0cd-4fa3-875b-49a815bce6f9
Михеева,Валерия,Артемьевич,Мамонтова Парамон Владиленович,5/26/1938,п. Мурманск,422690190609,6122251159,Водительское удостоверение,"2,441,916,859",респ. Бурятия,Восточный,п. Тула,Деревня,ш. Новгородское,168,6,48,Иное недвижимое имущество,Частная,"ш. Овражное, д.1, кв.8",416,Купля-продажа,1252346,Нет,Иное транспортное средство,Алексеев Лтд,1986,apK-312019,Муниципальная,"к. Тамбей, ул. Социалистическая, д. 967, 907390",2915323,Да,АО «Аксенов Савельева» Банк,"с. Моздок, ш. Городское, д. 6/3 к. 9, 416037",Текущий счет,EUR,3/16/2024,662041,ООО «Стрелков-Королев»,ООО,"с. Киренск, бул. Загородный, д. 3 стр. 62, 352458",13731873,41068891,64.1,Приватизация,Вексель,БАСФ (BASF),12762,7279,157099,361110,"ш. Радужное, д.66",213972,"пер. Звездный, д.137",250024,"бул. Лунный, д.39",79782,"ул. 50 лет ВЛКСМ, д.146",88527,"наб. Сиреневая, д.71",,207e20d3-b3f0-497d-9491-a624ab79f2a2
Пономарева,Анастасия,Викторовна,Денисова Всеслав Венедиктович,9/7/1973,п. Анива,640727257364,4458730925,Паспорт,"4,531,529,033",Ненецкий АО,Центральный,п. Бомнак,Село,наб. Красногвардейская,16,2,62,Гараж,Муниципальная,"ш. Российское, д.158, кв.3",57,Наследство,1145820,Нет,Воздушный транспорт,ЗАО «Игнатьев»,1975,meg-452621,Муниципальная,"клх Кунгур, наб. Дачная, д. 2/3 стр. 493, 052308",4839790,Да,"АО «Абрамова, Крюкова и Назарова» Банк","г. Костомукша, ул. Октября, д. 85 стр. 34, 934370",Депозитный счет,EUR,3/20/2017,3830853,ОАО «Федосеев-Сазонова»,ПАО,"с. Мичуринск, ул. Болотная, д. 99 к. 34, 295281",30289018,33869165,24.82,Вклад в уставный капитал,Акция,"ОАО «Сидоров, Емельянов и Федорова»",42812,1701,409255,49642,"алл. Железнодорожная, д.39",66921,"пер. Мелиораторов, д.200",434476,"пр. 50 лет Победы, д.106",298362,"бул. Крылова, д.65",46608,"бул. Новоселов, д.160",,c940afc7-558a-4c20-b10e-2a4daf62e34a
Турова,Анатолий,Захарьевич,Богданова Филимон Иосифович,4/4/1997,клх Павловская,102905690346,4778625646,Свидетельство о рождении,"6,927,837,492",Смоленская обл.,Южный,к. Грозный,Деревня,бул. Санаторный,153,4,50,Дача,Муниципальная,"пер. Амурский, д.43, кв.57",364,Дарение,2541896,Нет,Сельскохозяйственная техника,"ОАО «Корнилов, Сазонова и Маслова»",2013,uCV-116980,Муниципальная,"к. Киржач, ул. Кавказская, д. 80 к. 4, 708110",1680104,Нет,НПО «Меркушев» Банк,"п. Киров (Вятка), наб. Главная, д. 4/6 к. 5/7, 485669",Сберегательный счет,RUB,3/19/2022,3034168,Лобанова и партнеры,ЗАО,"клх Стрежевой, бул. Городской, д. 78, 977992",39353649,36372371,10-Mar,Приватизация,Облигация,РАО «Котова-Калашникова»,17809,7964,314301,17508,"пер. Павлова, д.174",281881,"ул. Кирпичная, д.48",326113,"наб. Мира, д.191",204091,"наб. Ударная, д.62",195084,"бул. Ленинградский, д.64",,7459a333-b1a3-49d1-a863-df567456f40f
Сысоева,Никифор,Демьянович,Устинова Иларион Дорофеевич,10/30/1956,ст. Оймякон,86861067152,8497114730,Паспорт,"4,200,605,916",Саратовская обл.,Западный,п. Кулунда,Село,пер. Украинский,142,1,49,Гараж,Частная,"ул. Островского, д.197, кв.87",284,Купля-продажа,2686041,Нет,Водный транспорт,Быкова Групп,2009,YxJ-129495,Частная,"г. Камышлов, пр. Песочный, д. 5 стр. 28, 072607",1699590,Да,Комиссарова Инкорпорэйтед Банк,"п. Аршан (Бурят.), пр. Циолковского, д. 7/7, 488430",Сберегательный счет,RUB,11/3/2019,1658050,Воронов Инк,ЗАО,"п. Тавда, ш. Новосельское, д. 587 стр. 140, 413766",9202522,5326836,46.12,Покупка акций,Вексель,Сибирская сервисная компания,22196,168,368950,265374,"бул. Ярославский, д.190",127015,"бул. Водников, д.61",110022,"бул. Медицинский, д.164",201046,"пр. Мичурина, д.58",67378,"алл. Индустриальная, д.41",,28a3fbce-04c7-4d72-ba43-b5debc94ed78
Русакова,Ермолай,Андреевна,Гурьева Лонгин Теймуразович,10/12/1934,ст. Чусовой,958277770812,7358262412,Свидетельство о рождении,"1,030,482,196",Оренбургская обл.,Западный,к. Енисейск,Деревня,пр. Набережный,52,8,60,Гараж,Государственная,"наб. Базарная, д.56, кв.22",307,Дарение,1210790,Нет,Грузовой автомобиль,НПК Объединенная вагонная компания,2021,RyE-758487,Государственная,"клх Ярославль, ш. Вокзальное, д. 80 стр. 9, 212039",3328395,Да,En + Банк,"с. Бодайбо, пер. Лермонтова, д. 2/8, 938908",Депозитный счет,USD,6/26/2022,1152894,ЗАО «Игнатова-Нестерова»,ПАО,"г. Ершов, наб. Войкова, д. 1/8, 274623",47267205,41991583,41.01,Вклад в уставный капитал,Фьючерс,НПО «Веселов Самойлова»,32560,2232,329602,350134,"наб. Максима Горького, д.89",119566,"пер. Королева, д.36",66379,"ул. Рабочая, д.158",256701,"ул. Блюхера, д.178",223201,"наб. Карьерная, д.198",,a47ef520-b352-4d1c-bf4e-c86babf7b995
Евсеев,Касьян,Адамович,Лебедев Селиван Арсенович,6/1/1960,п. Югорск,188172375445,4094342107,Водительское удостоверение,"6,370,675,791",Ямало-Ненецкий АО,Восточный,к. Курильск,Деревня,ш. Ватутина,140,3,20,Жилой дом,Государственная,"пр. Севастопольский, д.198, кв.38",329,Купля-продажа,3297226,Нет,Грузовой автомобиль,ИП «Зайцев»,2011,gHe-594848,Муниципальная,"д. Ямбург, пер. Рябиновый, д. 768 к. 36, 019502",4916356,Да,Морозова Лимитед Банк,"клх Карпинск, бул. Воровского, д. 97 стр. 87, 556042",Текущий счет,USD,8/10/2017,2359169,АО «Быков»,ООО,"п. Кижи, пр. Шишкина, д. 8, 934774",2501597,6516324,70.64,Вклад в уставный капитал,Опцион,ЗАО «Сазонова-Герасимова»,17613,5341,13205,460965,"бул. Дарвина, д.82",203440,"пр. Бабушкина, д.15",86810,"наб. Ватутина, д.109",299514,"пер. Кирпичный, д.147",45768,"алл. Надежды, д.143",,1ade1963-906e-4c6e-a55e-2672ed367f34
Калинина,Евгения,Димитриевич,Федоров София Борисович,3/13/1956,д. Черняховск,512739162958,8786621547,Паспорт,"9,707,764,617",респ. Северная Осетия - Алания,Центральный,п. Обнинск,Поселок,наб. Осенняя,40,10,23,Гараж,Муниципальная,"алл. Трудовая, д.11, кв.95",265,Наследство,1712970,Нет,Сельскохозяйственная техника,ОАО «Тимофеев-Моисеев»,1979,ZHt-894143,Государственная,"г. Ноябрьск, пр. Главный, д. 48 к. 71, 250703",2459755,Нет,"АО «Федосеев, Кулаков и Горбунова» Банк","клх Оса, ул. Промышленная, д. 1/5, 438882",Сберегательный счет,EUR,1/28/2024,3732849,ООО «Галкин-Лобанова»,ПАО,"к. Прохладный, пр. Нижний, д. 45 стр. 6/7, 470857",43727218,41891807,74.06,Приватизация,Опцион,Белов Лимитед,19677,3312,10748,150327,"пер. Ольховый, д.113",178865,"алл. Мира, д.28",26790,"алл. Новая, д.73",146477,"ш. Тенистое, д.186",145113,"наб. Гайдара, д.141",,ff5050e0-6c04-4a68-b1fb-5b532ada7497
Беспалов,Афанасий,Витальевич,Романов Аникита Ермолаевич,3/17/1991,ст. Быково (метеост.),182351495737,1969940459,Свидетельство о рождении,"9,743,891,391",Чукотский АО,Центральный,п. Троицк (Моск.),Деревня,ул. Сурикова,62,7,15,Иное недвижимое имущество,Муниципальная,"ш. Азовское, д.66, кв.34",463,Дарение,381708,Да,Мототранспортное средство,ООО «Никонова-Шубина»,2018,VdQ-441866,Государственная,"п. Охотск, алл. Студенческая, д. 4 стр. 50, 025921",3001282,Нет,НПО «Шарапов Мартынов» Банк,"ст. Владивосток, ш. Нефтяников, д. 7/2 стр. 4, 634911",Сберегательный счет,EUR,11/14/2023,4893716,Абрамова Групп,ОАО,"к. Рыбинск, наб. Черняховского, д. 2, 982911",5458951,19336344,80.02,Приватизация,Опцион,Монди СЛПК (Mondi),3415,4969,109026,302714,"наб. Целинная, д.5",31217,"наб. Юбилейная, д.58",357614,"наб. Просторная, д.124",251724,"алл. Литейная, д.57",238366,"наб. Дальневосточная, д.45",,5648cdaa-64b6-4d0c-b838-6961be7c11a0
Коновалов,Иосиф,Гавриилович,Колесников Азарий Изотович,2/6/1937,с. Дно,475392760168,3389405856,Паспорт,"3,650,602,650",Архангельская обл.,Центральный,г. Корсаков,Поселок,пер. Высотный,116,1,40,Гараж,Частная,"алл. Некрасова, д.54, кв.92",302,Дарение,4419323,Да,Сельскохозяйственная техника,АО «Коновалова Титов»,1989,BFA-693890,Муниципальная,"к. Певек, ул. Курчатова, д. 7 стр. 9, 440987",1585983,Нет,"ИП «Носова, Симонов и Корнилова» Банк","г. Кяхта, пр. Ушакова, д. 702 стр. 13, 336280",Депозитный счет,RUB,9/25/2018,2240243,"ЗАО «Блохина, Емельянова и Никитин»",ОАО,"п. Краснотурьинск, ул. Красина, д. 6/3 к. 4/9, 184152",14762042,6355331,38.67,Вклад в уставный капитал,Облигация,ОАО «Гришин-Маслова»,46314,9035,21628,426755,"пер. Ленский, д.63",123939,"ул. Надежды, д.150",491613,"наб. Микрорайон, д.138",277102,"ул. Революционная, д.78",164707,"наб. Окружная, д.19",,d86400f1-6e13-4558-8606-a188acb0d776
Блохин,Никита,Даниилович,Дорофеев Фома Давыдович,4/22/1967,к. Тихорецк,247498053143,7688804700,Свидетельство о рождении,"9,620,279,525",Кемеровская обл.,Центральный,клх Калининград,Деревня,пр. Камский,25,7,54,Иное недвижимое имущество,Муниципальная,"пер. Мира, д.35, кв.38",322,Дарение,3885859,Да,Водный транспорт,"ООО «Рожкова, Ковалева и Архипова»",1973,Yrn-380444,Муниципальная,"ст. Егорьевск, ул. Северная, д. 839, 439137",2599349,Да,Исаков Лтд Банк,"г. Оренбург, ул. Дружба, д. 2/4 стр. 834, 166291",Депозитный счет,RUB,8/20/2023,1030994,"АО «Маркова, Бирюков и Михайлов»",ЗАО,"с. Нижний Новгород, ш. Некрасова, д. 8/5, 636831",42490841,3983364,32.46,Вклад в уставный капитал,Облигация,"ИП «Воронцова, Давыдова и Денисов»",36722,4654,134644,323180,"бул. Правды, д.2",90232,"ш. Советской Армии, д.173",19266,"пр. Ленинградский, д.173",287991,"алл. Просторная, д.183",73396,"ш. Верхнее, д.55",,bf237c3d-3b15-4a35-8ee9-0fe9cdbcdc3c
Медведева,Боян,Харитонович,Гущина Анатолий Тимуровна,7/19/1950,к. Инта,111134698585,9383395859,Водительское удостоверение,"8,026,868,242",респ. Коми,Центральный,с. Дербент,Село,пер. Полярный,67,5,56,Иное недвижимое имущество,Частная,"бул. Вахитова, д.150, кв.76",284,Наследство,3627667,Да,Сельскохозяйственная техника,ИП «Фомин»,2005,NwT-185570,Муниципальная,"клх Беломорск, ш. 60 лет Октября, д. 307, 402581",3787044,Да,Сафонов и партнеры Банк,"д. Енисейск, бул. Брянский, д. 94 к. 70, 705952",Депозитный счет,EUR,2/20/2021,3935216,ИП «Шашкова Дементьева»,ЗАО,"к. Хужир, алл. Гагарина, д. 5/9, 483965",25641658,16824768,18.83,Покупка акций,Облигация,Сбербанк России,46776,4228,483638,219278,"пр. Дальневосточный, д.110",188093,"наб. Строительная, д.185",186235,"наб. Халтурина, д.158",97370,"бул. Клары Цеткин, д.184",201429,"ш. Логовое, д.11",,eac37c24-e1da-4667-a9df-9a3df1dca507
Котов,Анастасия,Тарасовна,Фомина Алексей Антонович,7/18/1946,п. Орск,253531304476,6143019720,Паспорт,"2,222,520,746",Ненецкий АО,Восточный,к. Усть-Илимск,Село,ш. Северное,119,5,23,Квартира,Муниципальная,"ул. Саратовская, д.173, кв.33",142,Наследство,175838,Да,Легковой автомобиль,АО «Никитин-Рожкова»,1985,dEc-758598,Муниципальная,"д. Оренбург, пр. Челюскинцев, д. 6/8 стр. 769, 957491",1340429,Да,АО «Федосеев Шубин» Банк,"п. Внуково (метеост.), пр. Новый, д. 503, 912983",Депозитный счет,RUB,6/15/2016,1177484,ИП «Суханова»,ООО,"ст. Ялуторовск, пр. Гагарина, д. 696 стр. 78, 135419",40180629,16236866,91.56,Покупка акций,Облигация,ООО «Цветкова-Доронин»,47793,2548,371679,342736,"ш. Разина, д.50",98903,"пр. Тюленина, д.9",484276,"ул. Строительная, д.22",270568,"бул. Металлургов, д.156",77641,"алл. Кошевого, д.125",,fe746ea6-e1e6-4545-81c2-e2830df7d590
Кузьмин,Исай,Бориславович,Фомина Христофор Эдуардовна,11/7/1971,п. Елец,503680279492,8544391585,Паспорт,"2,413,432,687",Ямало-Ненецкий АО,Восточный,г. Добрянка,Поселок,ш. 50 лет Победы,7,9,15,Гараж,Государственная,"пр. Королева, д.64, кв.68",61,Купля-продажа,2936736,Нет,Легковой автомобиль,Транстрейдойл,2013,VJN-508789,Муниципальная,"с. Кингисепп, алл. Сплавная, д. 503, 357631",1977951,Да,Панфилов Инк Банк,"с. Сладково, бул. Южный, д. 5/9, 368793",Сберегательный счет,RUB,6/30/2016,1937328,ОАО «Козлова Орехов»,ОАО,"с. Быково (метеост.), ул. Карбышева, д. 22 к. 42, 727575",11226021,15401696,80.71,Вклад в уставный капитал,Облигация,Водоканал Санкт-Петербурга,32354,1718,150541,290875,"пер. Кутузова, д.108",142251,"пр. Осенний, д.87",408175,"алл. Карбышева, д.84",82836,"ул. Космонавтов, д.197",214866,"ул. Красноярская, д.134",,8249778e-afeb-4ae2-82e6-342c7ed11ae0
Лыткин,Георгий,Владленович,Попова Поликарп Игнатьевич,9/28/2006,ст. Игнашино,981450560396,5898546456,Паспорт,"5,830,491,340",Самарская обл.,Южный,с. Москва,Село,пр. Алтайский,100,8,23,Дача,Муниципальная,"алл. Ставропольская, д.74, кв.99",440,Дарение,4961180,Да,Водный транспорт,АО «Меркушева»,2001,CjP-148361,Государственная,"клх Салават, ш. Лесозаводское, д. 2/2, 146667",2934474,Да,ЗАО «Константинова-Гуляева» Банк,"д. Тамбов, пр. Цветочный, д. 573 к. 3, 265439",Сберегательный счет,EUR,8/26/2022,352720,Ферронордик машины (Ferronordic),ЗАО,"п. Токма, ш. Загородное, д. 1 к. 2/4, 633381",25303749,31530490,28.66,Вклад в уставный капитал,Вексель,Металлоторг,19370,1424,232100,208180,"пр. Выгонный, д.187",236930,"наб. Октября, д.12",120036,"алл. Широкая, д.150",193049,"алл. Водников, д.101",185330,"ш. Прибрежное, д.124",,b530c278-31e1-4206-8f05-d0c543c06b0c
